,states,states_code,id,year,population
756,Nevada,NV,32,2017,2969905
757,New Hampshire,NH,33,2017,1348787
758,New Jersey,NJ,34,2017,8885525
759,New Mexico,NM,35,2017,2091784
760,New York,NY,36,2017,19589572
761,North Carolina,NC,37,2017,10268233
762,North Dakota,ND,38,2017,754942
763,Ohio,OH,39,2017,11659650
764,Oklahoma,OK,40,2017,3931316
765,Oregon,OR,41,2017,4143625
766,Pennsylvania,PA,42,2017,12787641
767,Rhode Island,RI,44,2017,1055673
768,South Carolina,SC,45,2017,5021268
769,South Dakota,SD,46,2017,872868
770,Tennessee,TN,47,2017,6708799
771,Texas,TX,48,2017,28295273
772,Utah,UT,49,2017,3101042
773,Vermont,VT,50,2017,624344
774,Virginia,VA,51,2017,8463587
775,Washington,WA,53,2017,7423362
776,West Virginia,WV,54,2017,1817004
777,Wisconsin,WI,55,2017,5790186
778,Wyoming,WY,56,2017,578931
779,Puerto Rico,PR,72,2017,3325286
780,Alabama,AL,1,2017,4874486
781,Alaska,AK,2,2017,739700
782,Arizona,AZ,4,2017,7044008
783,Arkansas,AR,5,2017,3001345
784,California,CA,6,2017,39358497
785,Colorado,CO,8,2017,5611885
786,Connecticut,CT,9,2017,3573297
787,Delaware,DE,10,2017,956823
788,District of Columbia,DC,11,2017,694906
789,Florida,FL,12,2017,20963613
790,Georgia,GA,13,2017,10410330
791,Hawaii,HI,15,2017,1424393
792,Idaho,ID,16,2017,1717715
793,Illinois,IL,17,2017,12778828
794,Indiana,IN,18,2017,6658078
795,Iowa,IA,19,2017,3141550
796,Kansas,KS,20,2017,2908718
797,Kentucky,KY,21,2017,4452268
798,Louisiana,LA,22,2017,4670560
799,Maine,ME,23,2017,1334612
800,Maryland,MD,24,2017,6023868
801,Massachusetts,MA,25,2017,6859789
802,Michigan,MI,26,2017,9973114
803,Minnesota,MN,27,2017,5566230
804,Mississippi,MS,28,2017,2988510
805,Missouri,MO,29,2017,6106670
806,Montana,MT,30,2017,1052482
807,Nebraska,NE,31,2017,1915947
808,Nevada,NV,32,2017,2969905
809,New Hampshire,NH,33,2017,1348787
810,New Jersey,NJ,34,2017,8885525
811,New Mexico,NM,35,2017,2091784
812,New York,NY,36,2017,19589572
813,North Carolina,NC,37,2017,10268233
814,North Dakota,ND,38,2017,754942
815,Ohio,OH,39,2017,11659650
816,Oklahoma,OK,40,2017,3931316
817,Oregon,OR,41,2017,4143625
818,Pennsylvania,PA,42,2017,12787641
819,Rhode Island,RI,44,2017,1055673
820,South Carolina,SC,45,2017,5021268
821,South Dakota,SD,46,2017,872868
822,Tennessee,TN,47,2017,6708799
823,Texas,TX,48,2017,28295273
824,Utah,UT,49,2017,3101042
825,Vermont,VT,50,2017,624344
826,Virginia,VA,51,2017,8463587
827,Washington,WA,53,2017,7423362
828,West Virginia,WV,54,2017,1817004
829,Wisconsin,WI,55,2017,5790186
830,Wyoming,WY,56,2017,578931
831,Puerto Rico,PR,72,2017,3325286
832,Alabama,AL,1,2018,4887681
833,Alaska,AK,2,2018,735139
834,Arizona,AZ,4,2018,7158024
835,Arkansas,AR,5,2018,3009733
836,California,CA,6,2018,39461588
837,Colorado,CO,8,2018,5691287
838,Connecticut,CT,9,2018,3571520
839,Delaware,DE,10,2018,965479
840,District of Columbia,DC,11,2018,701547
841,Florida,FL,12,2018,21244317
842,Georgia,GA,13,2018,10511131
843,Hawaii,HI,15,2018,1420593
844,Idaho,ID,16,2018,1750536
845,Illinois,IL,17,2018,12723071
846,Indiana,IN,18,2018,6695497
847,Iowa,IA,19,2018,3148618
848,Kansas,KS,20,2018,2911359
849,Kentucky,KY,21,2018,4461153
850,Louisiana,LA,22,2018,4659690
851,Maine,ME,23,2018,1339057
852,Maryland,MD,24,2018,6035802
853,Massachusetts,MA,25,2018,6882635
854,Michigan,MI,26,2018,9984072
855,Minnesota,MN,27,2018,5606249
856,Mississippi,MS,28,2018,2981020
857,Missouri,MO,29,2018,6121623
858,Montana,MT,30,2018,1060665
859,Nebraska,NE,31,2018,1925614
860,Nevada,NV,32,2018,3027341
861,New Hampshire,NH,33,2018,1353465
862,New Jersey,NJ,34,2018,8886025
863,New Mexico,NM,35,2018,2092741
864,New York,NY,36,2018,19530351
865,North Carolina,NC,37,2018,10381615
866,North Dakota,ND,38,2018,758080
867,Ohio,OH,39,2018,11676341
868,Oklahoma,OK,40,2018,3940235
869,Oregon,OR,41,2018,4181886
870,Pennsylvania,PA,42,2018,12800922
871,Rhode Island,RI,44,2018,1058287
872,South Carolina,SC,45,2018,5084156
873,South Dakota,SD,46,2018,878698
874,Tennessee,TN,47,2018,6771631
875,Texas,TX,48,2018,28628666
876,Utah,UT,49,2018,3153550
877,Vermont,VT,50,2018,624358
878,Virginia,VA,51,2018,8501286
879,Washington,WA,53,2018,7523869
880,West Virginia,WV,54,2018,1804291
881,Wisconsin,WI,55,2018,5807406
882,Wyoming,WY,56,2018,577601
883,Puerto Rico,PR,72,2018,3193354
884,Alabama,AL,1,2018,4887681
885,Alaska,AK,2,2018,735139
886,Arizona,AZ,4,2018,7158024
887,Arkansas,AR,5,2018,3009733
888,California,CA,6,2018,39461588
889,Colorado,CO,8,2018,5691287
890,Connecticut,CT,9,2018,3571520
891,Delaware,DE,10,2018,965479
892,District of Columbia,DC,11,2018,701547
893,Florida,FL,12,2018,21244317
894,Georgia,GA,13,2018,10511131
895,Hawaii,HI,15,2018,1420593
896,Idaho,ID,16,2018,1750536
897,Illinois,IL,17,2018,12723071
898,Indiana,IN,18,2018,6695497
899,Iowa,IA,19,2018,3148618
900,Kansas,KS,20,2018,2911359
901,Kentucky,KY,21,2018,4461153
902,Louisiana,LA,22,2018,4659690
903,Maine,ME,23,2018,1339057
904,Maryland,MD,24,2018,6035802
905,Massachusetts,MA,25,2018,6882635
906,Michigan,MI,26,2018,9984072
907,Minnesota,MN,27,2018,5606249
908,Mississippi,MS,28,2018,2981020
909,Missouri,MO,29,2018,6121623
910,Montana,MT,30,2018,1060665
911,Nebraska,NE,31,2018,1925614
912,Nevada,NV,32,2018,3027341
913,New Hampshire,NH,33,2018,1353465
914,New Jersey,NJ,34,2018,8886025
915,New Mexico,NM,35,2018,2092741
916,New York,NY,36,2018,19530351
917,North Carolina,NC,37,2018,10381615
918,North Dakota,ND,38,2018,758080
919,Ohio,OH,39,2018,11676341
920,Oklahoma,OK,40,2018,3940235
921,Oregon,OR,41,2018,4181886
922,Pennsylvania,PA,42,2018,12800922
923,Rhode Island,RI,44,2018,1058287
924,South Carolina,SC,45,2018,5084156
925,South Dakota,SD,46,2018,878698
926,Tennessee,TN,47,2018,6771631
927,Texas,TX,48,2018,28628666
928,Utah,UT,49,2018,3153550
929,Vermont,VT,50,2018,624358
930,Virginia,VA,51,2018,8501286
931,Washington,WA,53,2018,7523869
932,West Virginia,WV,54,2018,1804291
933,Wisconsin,WI,55,2018,5807406
934,Wyoming,WY,56,2018,577601
935,Puerto Rico,PR,72,2018,3193354
936,Alabama,AL,1,2019,4903185
937,Alaska,AK,2,2019,731545
938,Arizona,AZ,4,2019,7278717
939,Arkansas,AR,5,2019,3017804
940,California,CA,6,2019,39512223
941,Colorado,CO,8,2019,5758736
942,Connecticut,CT,9,2019,3565287
943,Delaware,DE,10,2019,973764
944,District of Columbia,DC,11,2019,705749
945,Florida,FL,12,2019,21477737
946,Georgia,GA,13,2019,10617423
947,Hawaii,HI,15,2019,1415872
948,Idaho,ID,16,2019,1787065
949,Illinois,IL,17,2019,12671821
950,Indiana,IN,18,2019,6732219
951,Iowa,IA,19,2019,3155070
952,Kansas,KS,20,2019,2913314
953,Kentucky,KY,21,2019,4467673
954,Louisiana,LA,22,2019,4648794
955,Maine,ME,23,2019,1344212
956,Maryland,MD,24,2019,6045680
957,Massachusetts,MA,25,2019,6892503
958,Michigan,MI,26,2019,9986857
959,Minnesota,MN,27,2019,5639632
960,Mississippi,MS,28,2019,2976149
961,Missouri,MO,29,2019,6137428
962,Montana,MT,30,2019,1068778
963,Nebraska,NE,31,2019,1934408
964,Nevada,NV,32,2019,3080156
965,New Hampshire,NH,33,2019,1359711
966,New Jersey,NJ,34,2019,8882190
967,New Mexico,NM,35,2019,2096829
968,New York,NY,36,2019,19453561
969,North Carolina,NC,37,2019,10488084
970,North Dakota,ND,38,2019,762062
971,Ohio,OH,39,2019,11689100
972,Oklahoma,OK,40,2019,3956971
973,Oregon,OR,41,2019,4217737
974,Pennsylvania,PA,42,2019,12801989
975,Rhode Island,RI,44,2019,1059361
976,South Carolina,SC,45,2019,5148714
977,South Dakota,SD,46,2019,884659
978,Tennessee,TN,47,2019,6829174
979,Texas,TX,48,2019,28995881
980,Utah,UT,49,2019,3205958
981,Vermont,VT,50,2019,623989
982,Virginia,VA,51,2019,8535519
983,Washington,WA,53,2019,7614893
984,West Virginia,WV,54,2019,1792147
985,Wisconsin,WI,55,2019,5822434
986,Wyoming,WY,56,2019,578759
987,Puerto Rico,PR,72,2019,3193694
988,Alabama,AL,1,2019,4903185
989,Alaska,AK,2,2019,731545
990,Arizona,AZ,4,2019,7278717
991,Arkansas,AR,5,2019,3017804
992,California,CA,6,2019,39512223
993,Colorado,CO,8,2019,5758736
994,Connecticut,CT,9,2019,3565287
995,Delaware,DE,10,2019,973764
996,District of Columbia,DC,11,2019,705749
997,Florida,FL,12,2019,21477737
998,Georgia,GA,13,2019,10617423
999,Hawaii,HI,15,2019,1415872
1000,Idaho,ID,16,2019,1787065
1001,Illinois,IL,17,2019,12671821
1002,Indiana,IN,18,2019,6732219
1003,Iowa,IA,19,2019,3155070
1004,Kansas,KS,20,2019,2913314
1005,Kentucky,KY,21,2019,4467673
1006,Louisiana,LA,22,2019,4648794
1007,Maine,ME,23,2019,1344212
1008,Maryland,MD,24,2019,6045680
1009,Massachusetts,MA,25,2019,6892503
1010,Michigan,MI,26,2019,9986857
1011,Minnesota,MN,27,2019,5639632
1012,Mississippi,MS,28,2019,2976149
1013,Missouri,MO,29,2019,6137428
1014,Montana,MT,30,2019,1068778
1015,Nebraska,NE,31,2019,1934408
1016,Nevada,NV,32,2019,3080156
1017,New Hampshire,NH,33,2019,1359711
1018,New Jersey,NJ,34,2019,8882190
1019,New Mexico,NM,35,2019,2096829
1020,New York,NY,36,2019,19453561
1021,North Carolina,NC,37,2019,10488084
1022,North Dakota,ND,38,2019,762062
1023,Ohio,OH,39,2019,11689100
1024,Oklahoma,OK,40,2019,3956971
1025,Oregon,OR,41,2019,4217737
1026,Pennsylvania,PA,42,2019,12801989
1027,Rhode Island,RI,44,2019,1059361
1028,South Carolina,SC,45,2019,5148714
1029,South Dakota,SD,46,2019,884659
1030,Tennessee,TN,47,2019,6829174
1031,Texas,TX,48,2019,28995881
1032,Utah,UT,49,2019,3205958
1033,Vermont,VT,50,2019,623989
1034,Virginia,VA,51,2019,8535519
1035,Washington,WA,53,2019,7614893
1036,West Virginia,WV,54,2019,1792147
1037,Wisconsin,WI,55,2019,5822434
1038,Wyoming,WY,56,2019,578759
1039,Puerto Rico,PR,72,2019,3193694
